Pi Fraction Statistical Data
Created 09-18-2016 11:01:54

#fractions: 215830
Mean value: 0.499283729688375

 Norm Bin#    PDF       CDF
0.00000000  1.0000   0.00000000
0.00100000  1.1166   0.00111662
0.00200000  1.0286   0.00214521
0.00300000  1.0888   0.00323403
0.00400000  0.8572   0.00409118
0.00500000  0.9776   0.00506880
0.00600000  1.0054   0.00607423
0.00700000  0.9776   0.00705185
0.00800000  0.9776   0.00802947
0.00900000  1.0240   0.00905342
0.01000000  1.0332   0.01008664
0.01100000  0.9128   0.01099940
0.01200000  0.9684   0.01196775
0.01300000  0.9776   0.01294537
0.01400000  1.0379   0.01398323
0.01500000  1.0888   0.01507205
0.01600000  0.9498   0.01602187
0.01700000  0.9915   0.01701339
0.01800000  0.9962   0.01800954
0.01900000  0.9684   0.01897790
0.02000000  0.9545   0.01993235
0.02100000  1.0286   0.02096094
0.02200000  1.0749   0.02203586
0.02300000  1.0610   0.02309688
0.02400000  1.1722   0.02426910
0.02500000  1.0379   0.02530695
0.02600000  0.9869   0.02629384
0.02700000  0.9823   0.02727610
0.02800000  0.9498   0.02822592
0.02900000  1.1120   0.02933790
0.03000000  1.0147   0.03035259
0.03100000  1.0425   0.03139508
0.03200000  1.0425   0.03243757
0.03300000  1.0657   0.03350322
0.03400000  0.9915   0.03449474
0.03500000  0.9776   0.03547236
0.03600000  1.0518   0.03652412
0.03700000  1.0703   0.03759440
0.03800000  1.0101   0.03860446
0.03900000  0.9684   0.03957281
0.04000000  1.0703   0.04064310
0.04100000  0.9313   0.04157439
0.04200000  0.9220   0.04249641
0.04300000  1.1120   0.04360840
0.04400000  0.9545   0.04456285
0.04500000  0.9591   0.04552194
0.04600000  0.9915   0.04651346
0.04700000  0.9684   0.04748181
0.04800000  0.9684   0.04845017
0.04900000  0.9684   0.04941852
0.05000000  1.0518   0.05047028
0.05100000  1.0054   0.05147570
0.05200000  0.9962   0.05247185
0.05300000  0.8942   0.05336608
0.05400000  1.0842   0.05445026
0.05500000  1.0147   0.05546495
0.05600000  0.9267   0.05639160
0.05700000  0.9776   0.05736923
0.05800000  0.9637   0.05833295
0.05900000  0.9081   0.05924107
0.06000000  0.9591   0.06020016
0.06100000  0.8942   0.06109438
0.06200000  1.0101   0.06210443
0.06300000  1.1722   0.06327665
0.06400000  1.0564   0.06433304
0.06500000  0.9267   0.06525970
0.06600000  0.9359   0.06619562
0.06700000  0.9452   0.06714081
0.06800000  1.1444   0.06828522
0.06900000  0.9962   0.06928138
0.07000000  1.0286   0.07030997
0.07100000  0.9359   0.07124589
0.07200000  1.0332   0.07227911
0.07300000  1.0332   0.07331233
0.07400000  1.0425   0.07435482
0.07500000  1.0332   0.07538804
0.07600000  1.0425   0.07643052
0.07700000  0.8850   0.07731548
0.07800000  0.9637   0.07827920
0.07900000  0.9035   0.07918269
0.08000000  0.9915   0.08017421
0.08100000  0.9823   0.08115647
0.08200000  0.9637   0.08212019
0.08300000  1.1074   0.08322754
0.08400000  0.8803   0.08410786
0.08500000  0.9962   0.08510402
0.08600000  0.9776   0.08608164
0.08700000  1.0101   0.08709169
0.08800000  1.1583   0.08825001
0.08900000  1.1074   0.08935736
0.09000000  0.9359   0.09029329
0.09100000  0.9174   0.09121068
0.09200000  0.9637   0.09217440
0.09300000  0.9220   0.09309642
0.09400000  1.0471   0.09414354
0.09500000  1.0564   0.09519993
0.09600000  0.9869   0.09618681
0.09700000  0.9406   0.09712737
0.09800000  1.0425   0.09816986
0.09900000  1.0888   0.09925868
0.10000000  1.0657   0.10032433
0.10100000  1.0054   0.10132975
0.10200000  1.0796   0.10240930
0.10300000  0.9498   0.10335913
0.10400000  0.9406   0.10429968
0.10500000  0.9823   0.10528193
0.10600000  1.0610   0.10634296
0.10700000  1.0425   0.10738544
0.10800000  1.0332   0.10841866
0.10900000  0.9823   0.10940092
0.11000000  0.9684   0.11036927
0.11100000  1.0425   0.11141176
0.11200000  1.0981   0.11250985
0.11300000  1.1444   0.11365426
0.11400000  1.0888   0.11474308
0.11500000  1.0193   0.11576241
0.11600000  1.0518   0.11681416
0.11700000  0.8062   0.11762035
0.11800000  0.9313   0.11855164
0.11900000  0.9637   0.11951536
0.12000000  1.1491   0.12066441
0.12100000  0.9498   0.12161423
0.12200000  1.0981   0.12271232
0.12300000  0.9545   0.12366677
0.12400000  0.9915   0.12465830
0.12500000  1.0657   0.12572395
0.12600000  1.0286   0.12675254
0.12700000  0.9637   0.12771626
0.12800000  1.0101   0.12872631
0.12900000  0.9313   0.12965760
0.13000000  1.0518   0.13070935
0.13100000  0.9962   0.13170551
0.13200000  0.9128   0.13261826
0.13300000  1.0471   0.13366538
0.13400000  1.0703   0.13473567
0.13500000  1.1120   0.13584766
0.13600000  0.8942   0.13674188
0.13700000  1.0842   0.13782607
0.13800000  0.9962   0.13882222
0.13900000  0.9035   0.13972571
0.14000000  0.9498   0.14067553
0.14100000  0.9035   0.14157902
0.14200000  1.0379   0.14261687
0.14300000  1.0101   0.14362693
0.14400000  0.9637   0.14459065
0.14500000  1.0888   0.14567947
0.14600000  0.9498   0.14662929
0.14700000  1.0101   0.14763935
0.14800000  1.1120   0.14875133
0.14900000  0.8340   0.14958532
0.15000000  1.1027   0.15068804
0.15100000  1.0749   0.15176296
0.15200000  1.0796   0.15284251
0.15300000  0.9823   0.15382477
0.15400000  0.8989   0.15472363
0.15500000  1.1491   0.15587268
0.15600000  0.9776   0.15685030
0.15700000  1.0286   0.15787889
0.15800000  0.9962   0.15887504
0.15900000  1.1213   0.15999629
0.16000000  1.1676   0.16116388
0.16100000  1.0101   0.16217393
0.16200000  0.9684   0.16314229
0.16300000  1.0888   0.16423111
0.16400000  1.0240   0.16525506
0.16500000  0.9869   0.16624195
0.16600000  1.0101   0.16725200
0.16700000  0.8896   0.16814159
0.16800000  1.0471   0.16918871
0.16900000  0.9730   0.17016170
0.17000000  0.8942   0.17105592
0.17100000  1.0749   0.17213084
0.17200000  1.0842   0.17321503
0.17300000  1.0286   0.17424362
0.17400000  0.9545   0.17519807
0.17500000  0.8942   0.17609229
0.17600000  0.9869   0.17707918
0.17700000  0.9545   0.17803364
0.17800000  0.9915   0.17902516
0.17900000  0.8850   0.17991011
0.18000000  1.0008   0.18091090
0.18100000  0.9174   0.18182829
0.18200000  0.9730   0.18280128
0.18300000  1.1352   0.18393643
0.18400000  1.0332   0.18496965
0.18500000  1.0471   0.18601677
0.18600000  1.1027   0.18711949
0.18700000  0.8989   0.18801835
0.18800000  0.9684   0.18898670
0.18900000  0.9313   0.18991799
0.19000000  0.9869   0.19090488
0.19100000  0.9406   0.19184543
0.19200000  0.8711   0.19271649
0.19300000  0.9730   0.19368948
0.19400000  1.2047   0.19489413
0.19500000  1.0147   0.19590882
0.19600000  1.0703   0.19697910
0.19700000  1.0518   0.19803086
0.19800000  0.9684   0.19899921
0.19900000  0.9869   0.19998610
0.20000000  1.0008   0.20098689
0.20100000  0.9081   0.20189501
0.20200000  1.0332   0.20292823
0.20300000  1.0147   0.20394292
0.20400000  1.1908   0.20513367
0.20500000  0.9962   0.20612982
0.20600000  0.9869   0.20711671
0.20700000  0.9452   0.20806190
0.20800000  1.0193   0.20908122
0.20900000  0.9915   0.21007274
0.21000000  0.9545   0.21102720
0.21100000  0.9452   0.21197239
0.21200000  0.9035   0.21287587
0.21300000  1.0518   0.21392763
0.21400000  0.9313   0.21485892
0.21500000  0.9267   0.21578557
0.21600000  0.9823   0.21676783
0.21700000  0.9081   0.21767595
0.21800000  0.8850   0.21856090
0.21900000  1.0564   0.21961729
0.22000000  1.1213   0.22073854
0.22100000  0.9869   0.22172543
0.22200000  0.9267   0.22265209
0.22300000  0.9823   0.22363434
0.22400000  1.1027   0.22473706
0.22500000  1.0379   0.22577492
0.22600000  0.9498   0.22672474
0.22700000  0.9637   0.22768846
0.22800000  1.0286   0.22871705
0.22900000  1.0564   0.22977343
0.23000000  1.1259   0.23089932
0.23100000  0.9730   0.23187231
0.23200000  1.0008   0.23287309
0.23300000  0.9962   0.23386925
0.23400000  1.1074   0.23497660
0.23500000  1.1027   0.23607932
0.23600000  0.9962   0.23707548
0.23700000  0.9081   0.23798360
0.23800000  1.0286   0.23901219
0.23900000  0.9915   0.24000371
0.24000000  1.0471   0.24105083
0.24100000  1.0054   0.24205625
0.24200000  0.8803   0.24293657
0.24300000  1.0842   0.24402076
0.24400000  1.0101   0.24503081
0.24500000  1.0703   0.24610110
0.24600000  1.0749   0.24717602
0.24700000  1.0286   0.24820461
0.24800000  1.0008   0.24920539
0.24900000  1.0054   0.25021081
0.25000000  1.0610   0.25127183
0.25100000  0.9730   0.25224482
0.25200000  1.0008   0.25324561
0.25300000  1.1120   0.25435760
0.25400000  0.9267   0.25528425
0.25500000  1.0657   0.25634991
0.25600000  0.9359   0.25728583
0.25700000  1.0471   0.25833295
0.25800000  1.0842   0.25941713
0.25900000  0.8757   0.26029282
0.26000000  1.0749   0.26136774
0.26100000  1.0425   0.26241023
0.26200000  1.0518   0.26346198
0.26300000  0.9174   0.26437937
0.26400000  0.8989   0.26527823
0.26500000  0.9684   0.26624658
0.26600000  0.9081   0.26715471
0.26700000  1.0147   0.26816939
0.26800000  0.9313   0.26910068
0.26900000  1.0147   0.27011537
0.27000000  1.0471   0.27116249
0.27100000  0.9823   0.27214474
0.27200000  0.9267   0.27307140
0.27300000  0.9406   0.27401195
0.27400000  0.9869   0.27499884
0.27500000  1.0147   0.27601353
0.27600000  1.0286   0.27704212
0.27700000  0.9081   0.27795024
0.27800000  1.0286   0.27897883
0.27900000  0.9545   0.27993328
0.28000000  0.9915   0.28092480
0.28100000  1.0379   0.28196266
0.28200000  1.0425   0.28300514
0.28300000  0.9081   0.28391327
0.28400000  0.9823   0.28489552
0.28500000  0.9637   0.28585924
0.28600000  0.9915   0.28685076
0.28700000  0.9406   0.28779132
0.28800000  0.8850   0.28867627
0.28900000  0.9545   0.28963073
0.29000000  0.9684   0.29059908
0.29100000  1.0147   0.29161377
0.29200000  0.9452   0.29255896
0.29300000  1.0332   0.29359218
0.29400000  0.9313   0.29452347
0.29500000  0.9220   0.29544549
0.29600000  0.9823   0.29642774
0.29700000  1.0842   0.29751193
0.29800000  1.0657   0.29857758
0.29900000  1.0147   0.29959227
0.30000000  0.9035   0.30049576
0.30100000  1.0147   0.30151045
0.30200000  1.0286   0.30253904
0.30300000  0.9730   0.30351202
0.30400000  0.8942   0.30440625
0.30500000  0.9962   0.30540240
0.30600000  0.9452   0.30634759
0.30700000  1.0101   0.30735764
0.30800000  0.9684   0.30832600
0.30900000  0.9498   0.30927582
0.31000000  0.9545   0.31023027
0.31100000  0.9684   0.31119863
0.31200000  0.9313   0.31212992
0.31300000  0.8942   0.31302414
0.31400000  0.9776   0.31400176
0.31500000  1.0888   0.31509058
0.31600000  1.1213   0.31621183
0.31700000  1.0749   0.31728675
0.31800000  1.0379   0.31832461
0.31900000  0.9452   0.31926980
0.32000000  1.0518   0.32032155
0.32100000  0.9869   0.32130844
0.32200000  1.0332   0.32234166
0.32300000  1.0518   0.32339341
0.32400000  1.1676   0.32456100
0.32500000  0.9962   0.32555715
0.32600000  0.8618   0.32641894
0.32700000  0.9684   0.32738730
0.32800000  1.1861   0.32857341
0.32900000  0.9452   0.32951860
0.33000000  0.8850   0.33040356
0.33100000  0.8803   0.33128388
0.33200000  0.9452   0.33222907
0.33300000  1.0240   0.33325302
0.33400000  1.1908   0.33444378
0.33500000  0.9684   0.33541213
0.33600000  0.9730   0.33638512
0.33700000  1.0564   0.33744150
0.33800000  0.9684   0.33840986
0.33900000  0.9591   0.33936895
0.34000000  1.0703   0.34043923
0.34100000  1.0610   0.34150025
0.34200000  1.0240   0.34252421
0.34300000  1.0286   0.34355280
0.34400000  0.8989   0.34445165
0.34500000  0.9220   0.34537367
0.34600000  0.9823   0.34635593
0.34700000  0.9684   0.34732428
0.34800000  1.1074   0.34843164
0.34900000  1.0193   0.34945096
0.35000000  0.9730   0.35042394
0.35100000  0.9359   0.35135987
0.35200000  0.8989   0.35225872
0.35300000  1.0008   0.35325951
0.35400000  1.0240   0.35428346
0.35500000  0.9545   0.35523792
0.35600000  1.0054   0.35624334
0.35700000  1.0981   0.35734143
0.35800000  1.0610   0.35840245
0.35900000  1.0981   0.35950053
0.36000000  0.9452   0.36044572
0.36100000  0.9498   0.36139554
0.36200000  1.1769   0.36257239
0.36300000  0.9498   0.36352222
0.36400000  0.9823   0.36450447
0.36500000  1.0286   0.36553306
0.36600000  0.9962   0.36652921
0.36700000  1.0425   0.36757170
0.36800000  1.0471   0.36861882
0.36900000  0.8803   0.36949914
0.37000000  1.1027   0.37060186
